FinalName,FullName,Name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,Score
abby meadow,abby meadow,abby meadow,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,61.0,8.8
abby meadow,abby meadow,abby meadow,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,49.0,10.65
abby meadow,abby meadow,abby meadow,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,63.0,4.95
abby meadow,abby meadow,abby meadow,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,52.0,11.8
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",HB,15.0,12.0
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",PH,25.0,12.166
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",HB,26.0,12.6
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",PH,27.0,12.7
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,113.0,12.0
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,68.0,12.766
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,122.0,12.4
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55.0,12.766
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2023-03-12,2023 Baku World Cup,qual,"Baku, Azerbaijan",PH,21.0,13.066
abdelrahman abdelhaleem,abdelrahman abdelhaleem,abdelrahman abdelhaleem,m,EGY,2023-04-30,2023 Cairo World Cup,qual,"Cairo, Egypt",PH,9.0,14.1
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-03-05,2022 Doha World Cup,qual,"Doha, Qatar",PH,27.0,11.366
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",PH,30.0,11.766
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",FX,36.0,12.35
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",PB,22.0,12.8
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",PH,10.0,13.7
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-09-25,2022 Paris World Challenge Cup,qual,"Paris, France",VT1,22.0,13.7
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,100.0,12.466
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,105.0,12.033
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,137.0,11.633
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,116.0,11.066
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,106.0,12.033
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,73.0,13.7
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,41.0,11.0
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PB,33.0,11.9
abderrazak nasser,abderrazak nasser,abderrazak nasser,m,MAR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,45.0,12.2
abdulaziz johani,abdulaziz al johani,abdulaziz al johani,m,KSA,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,44.0,11.6
abdulaziz johani,abdulaziz al johani,abdulaziz al johani,m,KSA,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PH,50.0,9.1
abdulaziz johani,abdulaziz al johani,abdulaziz al johani,m,KSA,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",SR,50.0,10.267
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2022-03-29,2022 Varna World Challenge Cup,qual,"Varna, Bulgaria",SR,29.0,11.6
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,final,"Doha, Qatar",SR,6.0,13.5
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",SR,11.0,13.667
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",FX,11.0,13.633
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",SR,26.0,12.966
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",VT2,9.0,14.233
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",FX,18.0,12.866
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",SR,19.0,13.233
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",VT1,21.0,14.233
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-04-30,2023 Cairo World Cup,qual,"Cairo, Egypt",FX,18.0,13.033
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-04-30,2023 Cairo World Cup,qual,"Cairo, Egypt",SR,21.0,13.066
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-04-30,2023 Cairo World Cup,qual,"Cairo, Egypt",VT1,10.0,14.3
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,FX,20.0,13.366
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,SR,18.0,13.166
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,final,Singapore,VT1,2.0,14.666
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-06-18,2023 10th Senior Artistic Gymnastics Asian Championships,qual,Singapore,VT2,3.0,14.8
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,35.0,13.9
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,37.0,13.533
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,15.0,14.533
abdulaziz mirvaliev,abdulaziz mirvaliev,abdulaziz mirvaliev,m,UZB,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,11.0,14.533
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-03-05,2022 Doha World Cup,qual,"Doha, Qatar",PH,15.0,13.033
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",FX,21.0,12.4
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-03-20,2022 Cairo World Cup,qual,"Cairo, Egypt",PH,7.0,14.033
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-03-20,2022 Cairo World Cup,final,"Cairo, Egypt",PH,7.0,13.066
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",FX,20.0,13.0
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-04-03,2022 Baku World Cup,qual,"Baku, Azerbaijan",PH,8.0,13.966
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-04-03,2022 Baku World Cup,final,"Baku, Azerbaijan",PH,8.0,13.4
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",FX,34.0,12.3
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",HB,17.0,12.733
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PB,16.0,13.633
abdulla azimov,abdulla azimov,abdulla azimov,m,UZB,2022-06-18,2022 9th Senior Artistic Gymnastics Asian Championships,qual,"Doha, Qatar",PH,9.0,13.667
